"nama","waktu","ulasan"
"Nathania Kweman","2 minggu lalu","Not worth the visit, many people selling stuff, people smoking and not one time payment. When we got in we pay 30 K/ person, 30 K/ car, 5 K/ car park. And when you want to visit another kawah domas, you need to pay 150 K/ 1-5 person. …"
"Syamsul Anwar","2 minggu lalu",""
"Fatih","2 minggu lalu",""
"prasetyo wijanarko","2 minggu lalu",""
"Velen","2 minggu lalu","Pemandangan sangat  indah😍💓 …"
"nila novel","2 minggu lalu","Nyaman datang di hari biasa jadi lebih bisa menikmati suasana alam"
"Call me och","2 minggu lalu","Bole la ya bawa telur, but the view not too awesome for me"
"Cao Cao Akatsuki","2 minggu lalu","Great view of Crater. Have Walking trails around the circle of crater. The ticket price for foreigners is 10 times more expensive than the Indonesian price. Please beware the local volunteer guide or sellers that will trap you for a tour and collect overprice of souvenirs or request high tips."
"Andri Setiawan","2 minggu lalu","13 tahun yang lalu, dan semua masih terasa sama"
"Ganang Wahyu Saputro","2 minggu lalu","Alam yang begitu menakjubkan, udara segar..."
"Leo smjtk","3 minggu lalu","5 Feb 2025
.
Tarif masuk 30k/orang (weekday) & 18k/motor. …"
"Yhose Kristian","3 minggu lalu","Lokasi bagus dan alamnya sangat terjaga, jangan lupa bawa jaket karena suhunya dingin, harga tiket masuk per orang 30rb, Februari 2025"
"ANYUN","3 minggu lalu","Yang kuat belerang kesini ya, yang gak kuat jangan, viewnya Maasyaa Allah"
"Daniel Chau","3 minggu lalu","dingin."
"Liyana","3 minggu lalu","Okay la if you want the experience to see the semi active volcano. It's not my vibe, but I definitely like the weather up there because it's cold, haha. Don't forget to wear a mask because the smell of sulfide is quite strong."
"Junior","3 minggu lalu",""
"Restu Ari","3 minggu lalu","baik"
"Ibnu Hajar","3 minggu lalu","Keren.. Mantap"
"Zee ul Fehyle","3 minggu lalu",""
"YANI","3 minggu lalu","Udah 3x kesini, terakhir datang gak dingin sama sekali."
"MF Ab","3 minggu lalu","The fee is a bit to expensive for foreigner 300k during weekend.."
"Anindita Wijaya","3 minggu lalu",""
"Tista Dewi","3 minggu lalu","kesana waktu longweekend jdi harga tiket termasuk mahal 40 rb per org,parkir mobil 40 ribu pemandangan bagus walaupun sering hujan dan kabut kurangnya fasilitas untuk tempat berteduh …"
"Dav","3 minggu lalu",""
"Maulida Pratiwi","3 minggu lalu","Salah satu tempat wisata yang perlu dikunjungi, karena jadi banyak tahu tentang Gn. Tangkuban Parahu, dan juga banyak spot foto yang menarik"
"Devon Nguyen","3 minggu lalu","Beautiful scenery of active volcano . Entrance ticket for foreigners on regular day (I went on Monday) was 300k, 35k extra ticket for sth I don’t know (only Indonesian language) and 5k parking fee that my Indonesian driver told me to pay. …"
"Yolanda Anastatica","3 minggu lalu",""
"James","3 minggu lalu","Objek wisata alam ini dioperasikan oleh perusahaan swasta.
Dan sebagai kebijakan, mereka juga mulai mengenakan biaya luar negeri kepada pemegang ITAS. …"
"Dahlia Prasetyaningtyas","4 minggu lalu","Pemandangan indah dari berbagai sudut. Banyak warung makan di sepanjang area wisata."
"Sylvia Agustine","4 minggu lalu","Pemandangan kawah yang indah dan unik. Hanya saja saat sampai di sana, baru sebentar lihat kawah gunung, tidak lama kabut turun dan kawah tertutup kabut dan hujan turun karna memang sedang musim hujan saat ke sana di akhir januari ini. …"
"Kimi Yansa","4 minggu lalu","disediakan ontang anting sebagai kendaraan dari area parkiran bawah ke area kawah di atas. kebetulan datang saat CNY. menurut pedagang setempat, saat CNY biasanya kabut turun dengan sangat tebal. jika dihampiri seseorang yang menawari untuk membantu mengambil foto, harap hati-hati karena harga yang ditarik di akhir cukup tinggi."
"Uden channel sahabat","4 minggu lalu",""
"Adyanta","4 minggu lalu",""
"joko suparno","4 minggu lalu","Cukup menarik melihat ouncak tanpa harus mendaki definisi sampai puncak tanpa harus berlelah lelah jalan kaki 😅😅😅 …"
"Chinhan Chang","4 minggu lalu",""
"Muhammad Rizky Alfian Noor","4 minggu lalu","Tangkuban Perahu adalah tempat yang cocok untuk kalian yang ingin berwisata ke gunung bersama keluarga, teman, ataupun pasangan dan sedang berada di gunung. Saya baru sekali ke sini, tempatnya besar. Saya lupa ada parkir khusus atau tidak, sudah bertahun-tahun sejak saya ke sini."
"Kartonochotijah","4 minggu lalu","beautifully"
"fadillah suyatna","4 minggu lalu","Tempat yg bagus buat berswafoto, petugas / pedagang di sana juga tertib gak ada pungli, much appreciate.."
"marsha olshopkdr","4 minggu lalu","Tiket nya terasa harga nya"
"Fahmi Hadisyah","4 minggu lalu","Stay safe and jaga kesehatan, buat yang alergi bau belerang di sarankan memakai masker.. karena bau dari belerang nya sangat nyengat"
"M.Mahmudi","4 minggu lalu","Liburan cukup ramai"
"Emi bathrisyia","sebulan lalu","I had a very unpleasant experience here. There were people constantly following us, no matter where we went. Additionally, there was a guide with a permit who insisted on providing services that we didn’t need. Despite us not wanting the …"
"Bayu DBA","sebulan lalu","bagus good goooooood"
"uyee mania","sebulan lalu","Pemandangan yg bagus saat cuaca cerah.

Htm weekend 63k (1motor +1 orang)"
"Andri Raden","sebulan lalu","Tiket mahal klo buat kantong pas pasan, tiket weekend 40k per org, roda 2 & parkir 23k, parkir bayar lagi walopun se iklasnya, ke kawah domas ditagih lagi 100k, makanan pun mahal contohnya cuankie 20k per porsi tanpa indomie."
"Sischa Agustina","sebulan lalu",""
"Mega Silver","sebulan lalu","Bau salep kulit 88"
"ayu oly","sebulan lalu","Kalo via bus, nanti keatas wajib pake suttle yg disediakan disana. Banyak dagang makanan, banyak penjual oleh"" yg menawarkan daganganya. Beberapa penjual menawarkan bantu fotoin tanpa dibayar."
"Indra Gunawan","sebulan lalu","Sangat memuaskan"
"berlian herman","sebulan lalu","good...good...good"
"Wibowo Atmadja","sebulan lalu","Bagus, liburan ke sana gak ada pungli warga lokal..."
"Noor Lintang","sebulan lalu",""
"Irma Nuraliyya","sebulan lalu",""
"zainul muhtar","sebulan lalu",""
"nuRDin","sebulan lalu","Saya seorang Tour Guide khususnya Touris Timur Tengah ( Arab)..saya merasa sangat kecewa Dengan Manajemen Pengelola tempat wisata Tangkuban Perahu di karnakan Tiket masuk ke tempat tersebut sangat amat MAHAL untuk WNA..saya hampir 10 kali …"
"Dimas Anwar","sebulan lalu",""
"noorazlina saramali","sebulan lalu","Tempat lawa, sangat interesting. however, there were bunch of ""self-claimed"" local guide showing their ""work-id-card"" offering to take photos for free using your own phone. after taking photos, they will surround you and starts selling, if …"
"Cutdey","sebulan lalu","Bagusss bgtt cocok buat liburan dan buat travelling"
"Efin Marifatika","sebulan lalu","One of the most visited places in Lembang: Tangkuban Perahu, a beautiful crater. MaasyaAllah"
"Eduardus Yusup","sebulan lalu","tempatnya bagus, parkirnya jga dibantu, keren lah"
"arthur saladin","sebulan lalu","Di puncak Tangkuban Parahu saat weekend, dan suasananya sekarang memprihatinkan. Terlalu banyak lapak pedagang sehingga pemandangan jadi tidak elok. Dan juga terlalu banyak pedagang asongan serta pengatur parkir."
"Andrias Bambang KW","sebulan lalu","Bagus perlu jaket bila kesini karena dingin"
"Medison Tanesib","sebulan lalu",""
"jungsanwoo","sebulan lalu",""
"Kaisar Asad Hilman","sebulan lalu",""
"C세","sebulan lalu","Ini surganya penipu haha
Jika Anda tidak pandai di Innier, kemungkinan besar Anda akan mendapatkan banyak pengalaman buruk di Tangkuban. Saya memperkenalkannya kepada teman-teman saya …"
"Emi Nadiyah","sebulan lalu","Tangkuban Perahu"
"Ridwan Nuraji","sebulan lalu",""
"yeni meriyani","sebulan lalu",""
"Via","sebulan lalu","Bolak balik main kesini teyus"
"Sihol Simbolon","sebulan lalu","Bagus tempat nya. Tapi hati² banyak pungli"
"Allan Yoteni","sebulan lalu",""
"Irman Irmawan","sebulan lalu","Indah"
"pungkut lubis","sebulan lalu",""
"Whan Huda","sebulan lalu","Disana yang asik itu pas naik ontang anting cepet banget jagi gak bosen"
"Jiban Haha","sebulan lalu",""
"Niwa -","sebulan lalu","Good place..."
"Saskiadea","sebulan lalu","nice experience"
"Budi Sulistyo","sebulan lalu","Masih favorite kalau pulang lewat jalur Lembang-Ciater."
"DODI SAPUTRA","sebulan lalu",""
"Timotius Agung Soripada Silaban","sebulan lalu","Sangat bersyukur dpt menikmati pemandangan kawah ratu yg indah dan menakjubkan. Yg paling membuat nyaman adalah keramahan semua petugasnya, yg saling membantu."
"Fotoing Kita","sebulan lalu","Bagus banget viewnya"
"aji anjas","sebulan lalu","Bikin nagih"
"Bryenhutasoit 18","sebulan lalu",""
"Rasyid Ridho","sebulan lalu","Tempatnya bagus, tapi saran kalau kesana persiapan bawa jas hujan atau payung"
"Aristo SdwOutdoor","sebulan lalu","Wisata standar yg perlu ditengok saat ke bandung khususnya lembang. Spot wisata andalan dan legendaris. Akses paling mudah,nyaman krn sdh tertata puluhan tahun. Jalan juga lebar dan halus dg area parkir luas baik mobil dan bus. Tiket masuk …"
"Callysta Rizka-Tata","sebulan lalu","It was great but the weather is cold, windy, and foggy
Indonesian: Itu bagus tapi cuacanya dingin, berangin, dan berkabut"
"Fury Oktaviana","sebulan lalu",""
"Ananda Hayuni Rahma","sebulan lalu","Kayanya ini ke 5xnya pergi ke Gunung Tangkuban Perahu. Alhamdulillah kali ini bisa bareng sama anak. Makin bagus yaa suasananya, pas kesana langitnya lagi cerah, panas ngga dingin kaya dulu."
"Cyril DUDON","sebulan lalu","Pemandangan yang bagus, sayangnya kami tidak bisa memutarnya jauh-jauh, ini kawasan lindung. Anda akan dengan mudah menemukan mini van di jalan yang akan menurunkan Anda di Lembang, lalu di Lembang satu lagi hingga ke pintu masuk taman."
"Yuli Susanti","sebulan lalu","Indah tempatnya namun sayang bila harga tiket masuk turist asing dibedakan dgn turist lokal. Turist asing harganya 2 kali lipat lebih mahal (bahkan lebih). Tangkuban perahu jadi minim tourist asing bahkan saya tidak melihat adanya turist …"
"Doel Remos","sebulan lalu",""
"Vincent Ciu","sebulan lalu","tempat penuh dengan kenangan masa muda, buat yang jago naik mobil di sarankan naik angkutan dari pihak pariwisatanya, biar aman sampe atas, soalnya salah dikit ilang dari dunia. hehe. …"
"Nayla_ thiraz","sebulan lalu","tempatnya baguss, sejukkk
cuaca lagi bagus jadi bisa lihat dengan jelas kawahnya
dapet foto bagus difotoin sama mamang² yg jualan souvenir. mereka ngga mau dibayar, tp kita bisa beli souvenir yg mereka jajakan sbg ucpn terimakasih."
"Rulianto Kurniawan","sebulan lalu","Salah satu tempat Wisata di Bandung, untuk naik kesini, pastikan kondisi kendaraan OK, karena tanjakan nya cukup tinggi, apalagi kalau kondisi ramai, terkadang mobil stop di tanjakan. Selain itu gunakan jaket, karena udara cukup dingin, apalagi kalau lagi berangin."
"AHMAD FACHRURROZI","sebulan lalu","Tanggal 4 januari 2025
Harga tiket masuk 105rb / motor
Harga nya ngk masuk akal, gila
Tidak rekomendasi"
"Hartanto puji","sebulan lalu","Destinasi favorit dari dulu"
"Chimpunk","sebulan lalu","Beautiful. Always crowded. Polite seller makes you comfortable spending time here but you can buy alot of beautiful souvenir"
"Hendrawan Mr.","sebulan lalu","Tempatnya bagus dan tiket masuk cukup mahal dan parkiran luas. Kalo kesini jangan lupa bawa jaket  karena cuaca cukup dingin. Untuk yang sensitif terhadap bau belerang disarankan memakai masker karena bau belerang yang cukup menyengat. Dan …"
"Agung Supratula","sebulan lalu",""
"Dian Prasetia (Dian prasetia)","sebulan lalu",""
"Dimas Andrian","sebulan lalu","Secara view, I prefer this site than Kawah Putih. Cuma yang jualan di depan agak ganggu aja dikit, kadang agak maksa sampe ngikutin, selain itu ini salah satu tujuan liburan yang bagus banget. Saran sih pakai baju yg tebal jg soalnya di atas lumayan banyak angin kencang."
"BASONI TOHIR","sebulan lalu",""
"169 Shofia Wardani","sebulan lalu","pemgen banget kesini lagi bjirrr, kangennn. tapi bau belerangnya beuhhh, bawa masker deh kalian yang mau kesini. bagus bangett, alhamdulillah kesini sebelum kabut datengg, jadi masih dapet tuh view cakepnyaa, anjay."
"andi ananda","sebulan lalu","Spot yg bagus, harga2 oleh2 juga murah2 dan ramah"
"kezya agatha","sebulan lalu","Went there 30th dec and it was very packed, overall it was ok, but not a lot of things to see, just crater and that’s it"
"Laily Kusuma","sebulan lalu","View kawah yang indah, bagus buat foto² dibantu pedagang yg jual souvenir... ingat habis dibantu foto harus beli barang dagangannya."
"Tika Tika","sebulan lalu","Saran buat yg mau masuk ke TWA Tangkuban perahu, kalau ada laki” yg stop in kalian sebelum pintu gerbang, terus aja jalan jangan berhenti. Mereka nawarin masker dengan harga 2pcs 10rb alasannya bau belerang lagi menyengat. Untung saya …"
"Mohamad Saifulizzaman","sebulan lalu","Saat anak” libur sekolah ke sini . Subhanallah indahnya ciptaan alam Allah swt"
"izz soleh","sebulan lalu","Tempatnya bagus tiket masuk lumayan mahal tapi worth it sih untuk tempat wisata yg terkenal,agak terganggu sama pedagang asongan tapi gpp lah,makanan lumayan mahal mungkin karena tempat nya jauh ., tapi menurut aku makanan nya enak parkiran …"
"Kang Mamat","sebulan lalu",""
"Asyikin","sebulan lalu","Entrance for foreigners is too expensive i.e 200k rupiah per pax. That is not including car entrance (we took Grab coming here) which is 30k + additional 5k for parking + another 5k when our Grab wanted to leave the parking to give to the …"
"Nova Daryanti","sebulan lalu","Waktu kesana cuacanya lg bagus alhamdulilah meskipun masih di masa liburan anak sekolah Minggu 29Des2024 tetapi jalan lumayan lancar. Kita sampai Tangkuban jam 11 pulang jam 4 sore puas sekali dengan pemandangan nya 🫶👍 …"
"Ardhantto Wisata","sebulan lalu","Gunung yg menawan 👍
Mudah di akses dan pemandangannya luar biasa indah …"
"Mia Damayanti","sebulan lalu","Awal nya sempet ragu kesini karena liat ulasan2 bintang 1 nya.. cuma karena penasaran banget akhirnya kesana...
Tapi ga sebegitu buruk itu loh, emang para pedagang disana nawarin mau difotoin …"
"Aderito DOSREIS","sebulan lalu",""
"Ade sofiana Maharani","sebulan lalu","Bagus sayangnya banget pas ke sana pagi hujan"
"Hanif hanif","sebulan lalu",""
"Jan Karltensen","sebulan lalu",""
"tedi rahman","sebulan lalu",""
"Ina Filasari","sebulan lalu","Pemandangan di sini sungguh indah, terutama bagian kawah. Anginnya kencang dan berdebu. Disarankan memakai jaket dan masker ketika berkunjung ke sini."
"Umagda Pelita","sebulan lalu","Tempatnya dingin & pemandangannya bagus, sebaiknya membawa jaket atau pakaian tebal, banyak pedagang kelilingnya."
"Yunita Sarah","sebulan lalu","Masih belom bisa move on dari momen yang sangat tyduck aesthetic ini 😭😭😭 …"
"Candra Ariawan","sebulan lalu","Pemandangan yang indah dan udara yg sejuk..."
"Balokdidi Setiadi","sebulan lalu",""
"risma hadiyanti","sebulan lalu",""
"siti eftafiyana","sebulan lalu",""
"Tatang Sutisna","2 bulan lalu","Bagi yang mau ke tangkuban perahu harap membawa jaket sweater dan sejenisnya, anginnya kencang, dan apa bila di jln masuk ada yang memberhentikan jangan berhenti itu bukan dari pihak pengelola wisata tangkuban perahu, itu oknum yang jual …"
"Dian Cancan","2 bulan lalu","Baru kali ini ke gunung tangkuban perahu. Dinginnn bgt wajib jakeett.
Kl ksni jgn lupa fto sm bapak2 yg ada di video aku yaa. Cm 20rb ftonya bagus lgs jadii buat kenang2an"
"Agus Suryaman","2 bulan lalu","tips ke sini biar ga jengkel,.nya pastikan bawa masker, jangan mau di potoin siapapun ingat (SIAPAPUN), kalo mau beli makanan tanya dulu harga nya jangan ragu buat bilang mahal atau ga jadi beli jangan sungkan buat bilang TIDAK ;)"
"Johan Jochems","2 bulan lalu","Drive inn volcano"
"achmad z.","2 bulan lalu","Keindahan alam"
"Ervan Nomaden","2 bulan lalu","Tempatnya cukup indah dan udaranya sejuk"
"Rahadyan Hafiz","2 bulan lalu","Liburan kali ini nyempatin main ke tangkuban perahu, first time, kaget karna orang orang disana baik baik, mereka yang nawarin jasa foto tapi kita ga usah bayar, rasanya wow, tempatnya asri, cocok buat liburan dengan bau bau belerangnya"
"Tiwul 88","2 bulan lalu","Salah satu spot yang asik jika berlibur ke kota bandung, tempatnya enak dan nyaman, serta sejukkknya poll. Pemandangannya indah apalagi spot kawahnya. Disarankan si jika kesini memakai jaket karena udaranya dingin dan anginnya lumayan …"
"Budianto ebudy","2 bulan lalu","Pemandangan yang indah dan suhu disana sangat dingin"
"Andila Dwi Artha S.T,","2 bulan lalu","Tempat wisata yg MW cobain sensasi dinginnya gunung ya di sini..

Pas masuk belokan pertama di scam mobil di stop.(Orang jual masker maksa) …"
"Trias Luthfi Aliy","2 bulan lalu","Nice"
"Diah Ayu","2 bulan lalu","Suasana nyaman tempat Tangkuban Perahu"
"maryami barotun","2 bulan lalu","Bagus udara dingin bgt"
"Kyehan Kiesa","2 bulan lalu","Viewnya sih keren banget, udaranya segar dingin tapi hati2 sama yg nawarin jasa foto baik pakai kamera kita sendiri atau kamera dianya… Itu awalnya nggak mau dibayar cuma nawarin dagangannya gelang atau kalung nahh cuma harganya nggak masuk …"
"Achmad Taufiq","2 bulan lalu","Oke lahh… ramah lansia, karena deket dengan parkiran. Suasana mayan dingin.
Banyak orang2 yg jual jasa, diantaranya jasa foto. Rata2 pedagang bantuin untuk memfotokan, nnti di akhir nawarin produk mereka."
"Echa Destya","2 bulan lalu",""
"Alfa Harindra","2 bulan lalu",""
"wayan pur","2 bulan lalu","Lokasi bagus... Tapi buat yang kesana pake google maps. Pas lagi macet jangan mau d arahkan masuk gang, saya kemaren di arahkan masuk gang, dan akhirnya ketemu jalan pegunungan. Intinya ikuti saja jalan utama."
"Qussay Sofiyah","2 bulan lalu",""
"Samina Kousar","2 bulan lalu","Feel disappointed how the ticket office treated my family. Quite pricey for foreign tourists."
"Guriya Ali","2 bulan lalu","Charging a very unfair policy of charging IDR 200,000 for foreign residents, Kawah Putih does not do the same. Quite a shame!"
"Rehan kurniawan","2 bulan lalu","Bagus bau belerang yang menarik dan memukau cocok untuk liburan akhir tahun 👍👍👍 …"
"Nyimas Cindy","2 bulan lalu","Setiap ke Bandung pasti mampir kesini untuk sekedar makan gorengan dan hirup udara segar. Kalau cuaca cerah kawahnya keliatan jelas dan cantik. Kalau mendung atau turun kabut sama sekali ga keliatan.. Lebih baik kesini saat cuacanya cerah😍 ⭐️⭐️⭐️⭐️⭐️ …"
"Ellen R","2 bulan lalu",""
"Anak Rantau","2 bulan lalu",""
"Khaira Dayana batrisya","2 bulan lalu","seru bgt"
"pankaj bais","2 bulan lalu","Good"
"Nazriel Haryono","2 bulan lalu","Tempatnya bagus, adem, hawa dingin, rameh, pedagang atau penjual ramah2 baik makanan minuman, oleh2 juga
untuk harga makan minuman setandar wisata. Untuk oleh2 baju dan tas atau lainnya …"
"Kira Neko","2 bulan lalu","Bagus tuk foto foto.. 😊 …"
"neni rahmawati","2 bulan lalu","Yang berkesan itu di sana adalah bnyak turis asing, dan yang paling wooow,,, itu pedagang nya pinter BHS inggris juga ,good jooobbb 👍👍 …"
"Joki Jack","2 bulan lalu",""
"Kang Review","2 bulan lalu","Rating tempat wisata 77 dari 100

- Tiket Masuk 30 rb …"
"Alex Chandra","2 bulan lalu",""
"Nguyễn Huyền","2 bulan lalu","10/10 for this view—love, love, love it! ✨ But be a
bit careful with the sellers; I’ve heard they might scam people. I don’t have personal experience with this, but somehow they seem to follow you. …"
"Sayyid Nasyroh","2 bulan lalu",""
"rizal nurridwan","2 bulan lalu",""
"marlina andriani channel","2 bulan lalu",""
"Nobert Tandilo","2 bulan lalu","Wonderful place to visit.
It's my first time to visit this place and I can only say this place was awesome."
"HK","2 bulan lalu","Gak bosen² datang kesini"
"sahadatul wirda","2 bulan lalu","cocok untuk libur keluarga, tempat dingin"
"Monier","2 bulan lalu",""
"Kwon Yuri38","2 bulan lalu",""
"MACHMUDIN","2 bulan lalu","🥶 …"
"SAZIME KAPTEN","2 bulan lalu","keren pemandangan indah dan nemu momen burung jinak"
"Yosi Utama","2 bulan lalu","Usahakan bawa uang cash atau ATM Card jka pembelian tiket secara langsung karena tak melayani dgn cara pembayaran via Qris dan Digi"
"Suhartati Suhartati","2 bulan lalu","Mau kasih bintang segini deh soalnya kecewa ternyata kemaren waktu kesana harga tiketnya naik ya dua orang, satu motor tiketnya jadi 103 ribu, jadi per satu orang nya 40 ribu, satu motor parkir 23 ribu wkwk, padahal di weekday apalagi di weekend, udah deh jadi kapok kesitu lagi cukup sekali aja😂 …"
"Rizmy Muthia Nabila","2 bulan lalu","kerenn bangett"
"CACAN C","2 bulan lalu","Bagus sih cocok untuk yang gak mau cape ingin melihat pemandangan kawas ke gunung dikarenakan mobil/motor bisa langsung sampai ke atas gunung tangkuban perahu"
"elvi doank","2 bulan lalu","Salah satu tempat wisata yg wajib dikunjungi kalau ke Jawa barat"
"Елена Воркевич","2 bulan lalu","Tempat yang sangat menawan.  Alam tahu bagaimana mengejutkan dengan kekuatan dan keindahannya.  Kami naik taksi ke sana dan kembali.  Dia menunggu kami di tempat parkir.  Semua ini memakan waktu sekitar 4 jam, termasuk perjalanan pulang …"
"Roy Obed","2 bulan lalu","Pemandangan indah di tempat ini. Diwajibkan pakai masker, untuk menjaga kesehatan. Area/spot foto banyak. Banyak jg warlok yg menawarkan souvenir / jasa foto (tidak memaksa & sukarela saja)."
"TIO SERVIS HP","2 bulan lalu",""
"Levinus Christian","2 bulan lalu",""
"Bram Y. Setiadi","2 bulan lalu","Tempat wisata alam yang sangat cocok dinikmati bersama dengan keluarga atau kolega dari luar kota. Pertama, harganya murah, 40k untuk wisatawan domestik dan 200k untuk wisatawan asing; kedua, sampai puncaknya bisa diakses dengan kendaraan …"
"Yessi Arganingrat","3 bulan lalu","Kedua kalinya ke Bandung, dan akhirnya nyobain main ke Tangkuban Perahu. Kesini waktu libur longweekend sept 2024. Ternyata masih bs dikondisikan karena tempatnya yg luas, viewnya bagus tapi hawanya dingiiin bgt bagi aku yg tdk terbiasa …"
"Vinda Dwi","3 bulan lalu","Tangkuban Perahu bagus. Cuma 1 yang fi sayangkan. Saya sudah cacat dengan perkataan tukang parkir di bawah. Padahal masuk udh sekaligus biaya parkir. Otomatis gratis kan kalau sudah masuk parkir. Eh mau pulang. Disamperin oknum tukang …"
"naufal ariansyah","3 bulan lalu",""
"Adam Wahidun","3 bulan lalu","Ticket Entrance on weekend: Car 35k, Visitor 40k, and Parking 5k.
Entrance ticket for foreigner is 10x.
I shocked that in website, domestic ticket still 30k, but on Nov 24th, 2024, …"
"prima nugraha","3 bulan lalu",""
"Bacassa도","3 bulan lalu","Ini pengalaman yang bagus
Pepohonan di jalan ke atas juga sangat mengesankan."
"Dita Aulia Adawiah","3 bulan lalu","Saya cukup terkesan dengan keindahan alam di sini. Kawah Ratu memang sangat memukau, dengan pemandangan kawah yang luas dan asap belerang yang keluar dari dalamnya, memberi kesan mistis dan dramatis. Udara dingin dan segar di sini …"
"I am Im","3 bulan lalu","Toilet bayar 2000.
Souvenirnya bagus2
Kalo gak suka bau belerang gak recommend ke sini ya
Tiket  (sabtu-minggu) sama  (senin-jum'at) beda yaa"
"yayan zidan","3 bulan lalu","Bagus udara sangat segar, cmn kadang2 bau belerang namanya juga gunung, tapi jalan ke atas untuk melihat kawah sangat rapi tertata da terjaga kebersihannya mantap sekali"
"Muhamad Rohman","3 bulan lalu",""
"anggi yansyah","3 bulan lalu",""
"Varibath Tanjung","3 bulan lalu",""
"Ridho Amee","3 bulan lalu","Pemandangan yang sangat indah ciptaan tuhan.. Sayang kesini ketika hujan turun jadi turun kabut kaeah nya ga kelihatan"
"Kiki Khoeruliman","3 bulan lalu",""
"indiana john","3 bulan lalu","Masuk dengan htm 78.000/2 orang, tiket tersebut sudah termasuk parkir. Untuk menuju puncak kawah ratu dibutuhkan waktu +- 10 menit dari jalan utama lembang. Untuk yang sensitif terhadap bau disarankan memakai masker karena bau belerang yang cukup menyengat."
"贾锡峰","3 bulan lalu",""
"Firdharaya","3 bulan lalu","Pemandangan sangat bagus"
"Nikmatus Sholikhah","3 bulan lalu",""
"yuni mur","3 bulan lalu","Alam yg indah, sayang tiba disana hujan"
"Syan Suffiyan","3 bulan lalu","Dont go here esp if you are non local. 200 000 rupiah per person compared to 30 000 per person if you are local. …"
"Sugiarto Ato","3 bulan lalu","MasyaAllah indah banget, baru pertama dan secinta itu tpi sayang nya aku gak naik kuda aja, nanti deh klo ke tangkuban perahu lgi next time naik kuda, nyaman bgt fto², ada mushola nya jga, trus ga lupa fto² jga sma bule😁 …"
"Mita Puspita","3 bulan lalu","Bagus banget❤️❤️"
"indra uno","3 bulan lalu",""
"rohman Fadhll","3 bulan lalu","Tempat ny bersih dan jangan lupa pakai masker"
"Jepe Aja","3 bulan lalu","Pengen kemari tp blm ada kesempatan"
"vnakoot","3 bulan lalu",""
