"nama","waktu","ulasan"
"Sri Murni Puspitasari","4 minggu lalu","Saat masuk diberi maps lokasi sehingga tau mau kemana, petunjuk jalan juga banyak, petugas juga helpfull.
Banyak tempat makan jadi ga takut kelaparan. …"
"Ryan RK","4 minggu lalu","Tempatnya bagus, hewannya banyak, pelayanannya ramah, tempatnya bersih, dan juga ramai pengunjung"
"Febryanto","4 minggu lalu","Tempat wisata alam terbaik. Hewan-hewannya hampir lengkap. Tempatnya luas dan banyak tempat untuk istirahat. Ada berbagai macam atraksi juga. Ramah untuk anak-anak dan juga cocok untuk semua umur. Ikut tiket terusan ada semacam wahana keliling kandang hewan buas dengan mobil seperti di taman safari bogor."
"Idris Salman","4 minggu lalu",""
"Iskandar Zulkarnain","4 minggu lalu",""
"akhnes nurherliani","4 minggu lalu",""
"Yono Karyono","4 minggu lalu","Good recomended"
"Luqman Hardiansyah","4 minggu lalu","Rekomendasi keluarga untuk yang punya bayi/anak kecil untuk edukasi. Tempat bersih, kandang hewan terlihat selalu dibersihkan"
"irsan darsana","4 minggu lalu","Mantap"
"Indah Pri","4 minggu lalu",""
"Bayu DBA","4 minggu lalu","2022 bagus sekali"
"sindi rizkiani","4 minggu lalu","Harganya 50rb waktu kesana, Anak bayar dihitung tinggi badan bukan umur.. ga boleh bawa makanan kalau minum harus pake tumblr , harga makanan standar enak juga, kalau mau ke kandang burunv bayar lagi naik kereta bayar lagi, tempat nya cukup …"
"Danang Wijayanto","sebulan lalu",""
"Sentot Adhi K","sebulan lalu",""
"Taufik Hidayat","sebulan lalu","Kalau ke bandung pasti sempetin ke lembang park zoo karena bagus utk anak anak..Hewannya lengkap dan tempatnya bersih..Sukses selalu."
"Kurniansyah Pratama","sebulan lalu",""
"Dian Nurfaidah","sebulan lalu",""
"Lastri Sulastri","sebulan lalu","Cocok buat liburan keluarga,tiket masuk terjangkau"
"Fatih Herta Chanel","sebulan lalu","Sangat recomended untuk libiran keluarga"
"Laili Nurmawati","sebulan lalu",""
"Darmansyah Ardhi","sebulan lalu","Cukup terkejut kali ini lembang punya kebun Binatang.
Rasanya seperti batu secret zoo dengan nuansa jawa barat dengan ukuran yang lebih kecil. Plus ada arena pertunjukan burung seperti di taman safari. …"
"Ang Charlie","sebulan lalu","Tempat ok.
FnB tidak terlalu banyak"
"deviloverhiexc erhiexco.Junior","sebulan lalu",""
"Erhiexc Rasta","sebulan lalu",""
"tijan baba","sebulan lalu",""
"dodi nugraha","sebulan lalu",""
"Dyuli 96","sebulan lalu",""
"Elsye Elvana","sebulan lalu","Sangat menyenangkan bisa melihat satwa liar secara dekat, hewan-hewannya juga cukup komplit, dan banyak tenant makanan di dalam area Zoo , jadi tidak usah khawatir lapar atau haus saat jalan-jalan.
Recommended"
"Siska Dwi","sebulan lalu",""
"Iwan Ihwanudin","sebulan lalu",""
"Galih Yord","sebulan lalu",""
"Daman Huri","sebulan lalu","sangat bagus dan keren"
"Stevhanie Elysa","sebulan lalu",""
"mey surani","sebulan lalu",""
"Khaerudin Sahrul","sebulan lalu",""
"Reva Aulya","sebulan lalu","seruuu tapi sayangnya masih terlihat kosong mungkin hewannya juga cape ya liat banyak manusia lalu lalang tapi cukup seru"
"jiritsu channel","sebulan lalu","lokasinya bagus, permainannya banyak dengan sekali tiket masuk"
"Rezainindra Al Ubaidah","sebulan lalu","Keren"
"dini astrilia","sebulan lalu","Dengan merogoh kocek yang sedikit pricey tapi cukup worth it sih. Karena satwa disana cukup komplit. Banyak, tapi tertata dengan rapi. Juga disediakan peta untuk memandu mau ke area satwa mana lagi. Hanya saja banyak yang berbayar lagi saat …"
"anita","sebulan lalu","Udaranya sejuk, bersih, hewan2 terawat recomend"
"Katarina Dwi Astuti","sebulan lalu","Hunian nyaman dan fasilitas ok"
"Taufan Wijaya","sebulan lalu","Terbaik 👍👍 …"
"Rokhmi Yunita","sebulan lalu","menyenangkan"
"Yesaya Bunawan","sebulan lalu",""
"Nel_ V","sebulan lalu","Kids friendly dan adult friendly .
Tempat nya luas, bersih..
banyak tempat duduk jadi gak bakalan pegel bgt karna bs duduk2 di area . …"
"Rinaldo Sinaga","sebulan lalu",""
"Dody Asmono","sebulan lalu",""
"Putra Hery","sebulan lalu","Murah meriah"
"Tere Manihuruk","sebulan lalu","Datang saat liburan, ramai, disediakan shuttlebus dari parkiran ke tempat tiket ataupun sebaliknya. Jd ga capek jalan kaki kalau parkir jauh"
"Catherine","sebulan lalu",""
"Indra Nursetojati S","sebulan lalu",""
"Darius Rijk","sebulan lalu",""
"Romy Arisandi","sebulan lalu",""
"Ludna_naura Alga","sebulan lalu","Rekomen klu liburan bawa anak2 ke tempat ini,banyak jajanan jga d dlm,tempatnya pun bersih."
"Deni Asfian","sebulan lalu",""
"Feni Verawati","sebulan lalu",""
"roelly andrian","sebulan lalu",""
"desti eka ningrum","sebulan lalu",""
"Yudhi jaka Tandang","sebulan lalu","Menyenangkan"
"AGUS HASAN SAPUTRA","sebulan lalu",""
"Cahyamas Arif Satria","sebulan lalu","Mantap"
"sandra juwita","sebulan lalu","Good experience 🫰🏻 …"
"Finka Aprilian","sebulan lalu",""
"Alvina Nur Aghniya","sebulan lalu","Baguss bgttt, tempatnya nyaman luas, KIDS FRIENDLY🤩🔥👀 …"
"Dede Azis","sebulan lalu","Happy family, tempatnya enak dan bersih dan semua fasilitas memadai dibeberapa titik"
"Kartika Ela","sebulan lalu",""
"Muhamad Ilham","sebulan lalu",""
"Seviyani Sevi","sebulan lalu",""
"rachmat sugiharto","sebulan lalu",""
"Erna Utami","sebulan lalu",""
"Intania Mutia Sofiyanti","sebulan lalu",""
"Aryo Wicaksono","sebulan lalu",""
"Ida Rosida","sebulan lalu",""
"Ayu Tresna Sofiyanti","sebulan lalu",""
"Ronny Keyz","sebulan lalu",""
"ronny keyz","sebulan lalu",""
"Komarudin 20","sebulan lalu","Bagus"
"Titin Hartini","sebulan lalu",""
"Eni Heriyani","sebulan lalu",""
"Ferda Ferdianti","sebulan lalu",""
"Adi Firdi Kuswandi","sebulan lalu",""
"andri suwandi","sebulan lalu",""
"Lilis Sariyah","sebulan lalu",""
"Suryadi Angga","sebulan lalu","Tempat yang cocok buat healing bareng keluaga"
"Rinrin Arumsari","sebulan lalu",""
"Listore Fashion","sebulan lalu",""
"Gisda Azzahra","sebulan lalu",""
"nagusman danil","sebulan lalu","Bagus dan nyaman tempatnya.."
"Aldi Bahari","sebulan lalu",""
"Nabilah Ulfa","sebulan lalu",""
"sheryn putri","sebulan lalu","park zooonya bagus dan lengkap"
"Yogi Adha Wardani","sebulan lalu","Terbaiks"
"Cindy Halim","sebulan lalu",""
"Aldy","sebulan lalu","Mantap, seru"
"Rendy Pramudinta","sebulan lalu","Sangat mendidik dan menambah pengetahuan"
"Haris Setiawan","sebulan lalu","Sangat menyenangkan, petugas jg ramah"
"Eni Tembong","sebulan lalu",""
"Dwi Dyah Kartika Sari","sebulan lalu","Datang weekday , udaranya sejuk biarpun panas.
Jadi biarpun keliling jalan kaki juga gak terlalu capek"
"Hendri Alwi","sebulan lalu",""
"Nurul Fatmawati","sebulan lalu","Cocok untuk wisata anak..
Bagi yg perjalanan jauh bisa istirahat cari penginapan di area sekitar lembang park zoo..banyak pilihan.."
"Taufik Akbar","sebulan lalu",""
"laphiez firin","sebulan lalu","Tempat liburan bersama keluarga yang sangat cocok untuk edukasi anak"
"Yance Arifiyanto","sebulan lalu",""
"Abdul Salamuddin","sebulan lalu",""
"Titi Pram","sebulan lalu",""
"syaehul islam","sebulan lalu","KEREN TEMPATNYA"
"Ratni Wulandari","sebulan lalu",""
"Robin Keithzia","sebulan lalu",""
"Bimo Saputra","sebulan lalu",""
"Bherlia Nuraditya","sebulan lalu",""
"sofyan hamid","sebulan lalu",""
"Westy Ayu Permatasari","sebulan lalu","Semakin beragam hewannya, pertama kesana baru banget buka jd stand makananpun masih proses
Sekarang hewan beragam, fasilitas lebih luas, tempat makan banyak"
"Zaidal F","sebulan lalu",""
"Rio Anggara Pratama","sebulan lalu",""
"Antons Junot","sebulan lalu",""
"Lorenzyana","sebulan lalu",""
"Obet Alkhalimin","sebulan lalu",""
"Ristiyanti Anidya Jati","sebulan lalu",""
"Damar Wicaksono Wibowo","sebulan lalu","Kebun binatangnya cukup lengkap dan kondisi satwa terpelihara dengan baik. Ada juga arena Safari dengan menaiki kendaraan khusus yang disediakan.  Fasilitas penunjang seperti toilet, tempat makan/minum sangat banyak. Area sangat terawat …"
"Egi Permana","sebulan lalu","Sejuk dan fasilitas lumayan lengkap"
"Nunung Rochman","sebulan lalu","Berbagu sedikit pengalaman berlibur ke sini

untuk binatang di sini bisa di bilang lengkap dan sehat sehat …"
"Ridwan Nuraji","sebulan lalu",""
"Lulu Fadlun","sebulan lalu",""
"Juli Abdul kholik","sebulan lalu",""
"ana zakaria","sebulan lalu",""
"Anis Aidah","sebulan lalu",""
"Amir Mahmudin","sebulan lalu",""
"Elka Destrika","sebulan lalu","Pertama kali membawa anak main ke sini

Tempatnya sangat luas...terdapat banyak aneka satwa.. Yang paling menarik adalah …"
"Adv. Iron I Simbolon,S.H","sebulan lalu",""
"Fahrizal Fitra","sebulan lalu","Tempat nyaman untuk berwisata bersama anak anak"
"Inez Nirjana","sebulan lalu","Datang ke sini di hari Jumat di masa liburan anak sekolah, jadi ga ramai sekali seperti saat weekend, tapi juga ga sepi-sepi amat. Parkirannya luas dan ga perlu khawatir jalan jauh karena ada mobil shuttle yang bolak balik dari parkiran ke …"
"Ocina Id","sebulan lalu",""
"RESTU HAVIA R","sebulan lalu","Tempatnya bagus nyaman"
"Farah","sebulan lalu","Satwanya lumayan banyak, tempatnya bersih.
Htm: 90k/orang (tiket terusan taman satwa)"
"Syafiq Ziyadul Arifin","sebulan lalu",""
"Riska Ratnaningsih","sebulan lalu",""
"erna harahap","sebulan lalu",""
"Desi Triastiti","sebulan lalu","Seru
Bersih
Adem …"
"Genta Argani Wicaksono","sebulan lalu",""
"Artiko Perdana (Admin)","sebulan lalu",""
"Bundanya Queen Afsheen","sebulan lalu","Setahun lalu k sini
Dan anak2 happy
Kebun binatang yg masih oke sih …"
"karlina septiyani","sebulan lalu",""
"Iqbal Prawira","sebulan lalu",""
"Annisa Kaulika","sebulan lalu",""
"Purnomo Aja","sebulan lalu",""
"Oka Mahendra","sebulan lalu","Bagus. Anakku suka dan ada stroller dan kursi roda utk lansia. Semoga makin lama makin bagus dan makin lengkap hewannya👍🏻 …"
"Farrel Octavio","sebulan lalu","Bagus bgt"
"Ina Harlina","sebulan lalu",""
"FRDIKKA","sebulan lalu","Tempatnya Bagus Banget"
"Sari Capriani","sebulan lalu",""
"saeful mubin","sebulan lalu",""
"Fika Fidayyah","sebulan lalu","Menyenangkan untuk liburan bersama keluarga"
"Agus Setiawan","sebulan lalu","Bersih , tertata dgn rapih dan pengelolaan yg profesional."
"Koiholic","sebulan lalu",""
"Rio Fahrezi","sebulan lalu",""
"Selvie 1987","sebulan lalu",""
"Rafel Andriand","sebulan lalu","tempatnya bagus, hewan hewannya juga oke dan menarik, saran saya lebih banyak plang di depannya biar terlihat"
"Asep Sumantri","sebulan lalu",""
"Nabil Achmad","sebulan lalu",""
"dinur _Jannis","sebulan lalu",""
"Saipul Anwar","sebulan lalu",""
"Fadie Hamzah","sebulan lalu",""
"Aidan Fadhil P","sebulan lalu","tempatnya bagus dan sangat bisa untuk berkunjung bersama keluarga"
"Daffa Ramadhann","sebulan lalu",""
"Nixindo Net","sebulan lalu","Tempanya luas, bersih bisa safari mini dengan menambah 10rb aja, melihat binatang buas naik mobil yg disediakan. Tp saat ini blm ada jerapah, mungkijnkedepannya bisa datangkan. The best deh."
