"nama","waktu","ulasan"
"Muharmansyah Arman","seminggu lalu","ga cocok buat manula, tempatnya curam dan mainannya gitu gitu aja, cocok buat yang hoby selfie"
"Astrie Karno","seminggu lalu",""
"Bianca Vermeulen","seminggu lalu",""
"Za Za","seminggu lalu","HTMnya 50rb, yang paling bagus miniatur Jepang, yang sangat apa Thailand. Untuk objek wisatanya okee, banyak bangunan yang lumayan menghibur dan megah. …"
"Agus Setiawan","seminggu lalu",""
"boediharyantoz","seminggu lalu","The Great Asia Afrika merupakan taman miniatur negara-negara yang ada di Asia dan Afrika. Setiap taman miniatur menyajikan keunikan dari negaranya. Selain itu, ada banyak wahana dan kegiatan yang menarik di setiap paviliun negara. Anda …"
"Anggund Munjiat","seminggu lalu",""
"Mat Jalani","seminggu lalu","Tempatnya bagus buat healing dengan keluarga dan juga dengan teman teman"
"Nurul Fadhilah R Nst","seminggu lalu","sangat dingin"
"Hanif NC","seminggu lalu","Sangat luas dan bangunan bangunanya menyerupai aslinya
Tapi untuk tiketnya agak mahal"
"Lusia Rahajeng 01","seminggu lalu",""
"Emi Mistianingrum","seminggu lalu","bagus sekali"
"Connan Edogawa","seminggu lalu",""
"Mochammad Sugiat Pribadi","seminggu lalu","Keren ,seru, ada beberapa overview tampilan negara-negara dsini.

ada sewa kostum + jasa fotonya juga. …"
"Siti Julaeha","seminggu lalu","Enggak enak banget org yg d daerah Japan, krn kita bawa cemilan anak sm minuman toh kita juga beli makanan di dalem bahkan bnyak bgt makanan yg kita beli, ini cm gegara makanan anak di tegor smbil teriak teriak bilang ""udah di foto mau …"
"Hanni Iskandar IYC","seminggu lalu","Cocok buat olahraga pagi sambil mempelajari sejarah dan budaya beberapa negara di Asia Afrika ..."
"pandu utomo","seminggu lalu","View bagus, penataan tempat juga bagus. Rekomendasi buat jiwa muda. Tidak disarankan buat umur 50++, yg pasti sangat melelahkan buat tracking nya.
Cocok buat wisata keluarga. HTM 50.000, tidak termasuk beberapa wahana di dalam lokasi."
"Ardaya M Arip","seminggu lalu",""
"Mohammad Alim","seminggu lalu",""
"Hadi Yanto","seminggu lalu",""
"Maria Angelina","2 minggu lalu",""
"Edo Zexofiano","2 minggu lalu",""
"setya budi","2 minggu lalu",""
"Purnawan Pupung","2 minggu lalu","Tempat dan suasananya nyaman dekat tengah2 kota"
"Ediar Eusman","2 minggu lalu",""
"Mashadi Cakranegara","2 minggu lalu","Tempatnya sejuk, konsepnya bagus, banyak spot foto yg indah. tetap dijaga agar lestari."
"Muhammad Arif","2 minggu lalu",""
"B5_Azmy Nadya M","2 minggu lalu","i love this place very much-!! tempat ini cocok bgt buat kamu yang gabut mau kemana di lembang, buat nongky"" bareng temen keluarga pacar, temennya pacar atau siapapun itu!! tempatnya luasss nyaman, teduh, rindang, banyak makanan dan minuman, pelayannya ramah ramah"
"Amy Utami","2 minggu lalu",""
"E Suherman","2 minggu lalu","Kami atas nama driver mengucap trimakasih"
"mulyana multilaser","2 minggu lalu",""
"Nurmalya Manullang","2 minggu lalu",""
"Dika Rinakuki","2 minggu lalu","Tempat yang pas buat ngenalin budaya dan makanan negara lain ke anak2, meski jalannya lumayan ya. Satpam2nya baik2 dan helpful. Sayang fasilitas kursi rodanya gak terawat, jd bikin capek yg dorong."
"Chep Guna","2 minggu lalu","Menghadiri meeting /pelatihan ketika berkunjung.

Parkir luas dengan tarif plat..sudah ada tulisanya.. …"
"Puji Permana","2 minggu lalu",""
"Oscar Budiman","2 minggu lalu",""
"Titim Fatima","2 minggu lalu","Menyenangkan"
"Bella Augustine","2 minggu lalu",""
"Cao Cao Akatsuki","2 minggu lalu","Simulation Area from each Country that can take photos and walk for tour on each zone. Have a large scale of symbols & buildings. Many activities inside for additional cost e.g. riding horse, Mini train, Sky bike, costume rental etc."
"ALEX LIM","2 minggu lalu",""
"Ryan Primadi Jasman","2 minggu lalu",""
"Elias Elias","2 minggu lalu",""
"Misbah_ AbiFaqih","2 minggu lalu",""
"Siti Baitul Mukarromah","2 minggu lalu",""
"Saeful Rahman","2 minggu lalu",""
"ronggo Utomo","2 minggu lalu",""
"Andreas Ginting","2 minggu lalu",""
"Cecilia S","2 minggu lalu","Kami datang tgl 29 Januari 2025, HTM 50rb/org. Kami beli tiket di traveloka ada promo jadi 44rb/org, parkir 20rb/mobil.
Tempatnya luas, namun naik turun, untuk lansia yang tidak fit bisa menggunakan …"
"Dadang Cahriyo","2 minggu lalu","Cool..."
"filio wiguna","2 minggu lalu","Zona afrika TIDAK TERAWAT.. byk yg sdh kusam dan remuk jg utk wilayah india dan.tmbok china.... lebih ke kurang perawatan aja sih..pdhal tempatnya seru krn olahraga naik turun (walau zona yg dituju sebenarnya g byk). syng bnget …"
"kojai gotzal","2 minggu lalu",""
"Shaquille Ellard Andhika","2 minggu lalu",""
"Lutfy Septian","2 minggu lalu","Makanan nya enak pedahang nya ramah"
"Cecep Sandi","2 minggu lalu",""
"Cykal Nailufar","2 minggu lalu",""
"Norliyana Ngadiman","2 minggu lalu","Cantik tapi bias.. berbukit tidak cocok untuk orang tua. Wajib coba tahu susu lembang.. enak.. kue dan pai kejunya juga wajib. Ust mencoba untuk membawa kembali sangat lezat"
"Felix Setyo","3 minggu lalu","Pengalaman seperti kita touring ke Kota2 di Asia hanya dalam sekali jalan, bisa sewa kostum ala2 asia tiap negara. namun sayang bangunannya hanya di fungsikan untuk foto2 saja. Di luar perkiraan saya, saya kira tiap bangunan ada ruang …"
"Surman Man","3 minggu lalu","Tempat yang asyik untuk menenangkan Pikiran,"
"Neng Agis sagita","3 minggu lalu",""
"Rosyati channel","3 minggu lalu","Tidak mampir"
"Rifka Wangiana","3 minggu lalu","Pertama kalinya kesini rasanya waktunya kurang banget padahal dah dari jam 1 - hampir mau tutup tapi belum semua dijelajah. Tiket masuk 50k/orang dan dapet vouvher minum. Ada banyak spot dan area bermain, worth banget pokoknya, walopun …"
"Anggit Surindra (Anggit)","3 minggu lalu","Kesini pas weekday. Dan masih rame, walaupun mungkin kalau weekend lebih ramai lagi. Biaya parkir lgsg bayar ke petugas nya, sebesar 10 ribu Rupiah. Harga tiket tetap 50 ribu per orang. Singkatnya setelah berkeliling, ada 3 negara yang …"
"Iwanyek Iwan","3 minggu lalu","Best"
"Hanifa Handayani","3 minggu lalu","Baguuuss tapi menurut sya ga cocok untuk orang tua, karena jauh jalan kaki untuk lihat pemandangannya, memang ada fasilitas Gondola tapi masih tetap ada berjalannya. …"
"eno anggraeny","3 minggu lalu","Tempat wisata keliling dunia di satu tempat yang menarik dan bagus spot foto untuk keluarga tidak di sarankan untuk orang tua  karena area ini banyak jalan kaki dan jauh2. ada sewa baju beberapa negara, wahana dan foto termasuk gondola …"
"Den Yuri","3 minggu lalu","Wisata yang berada di Bandung ini cukup mengasikan ditambah suasananya yang dingin atau sejuk, ada beberapa wisata yang ditampilkan  disini seperti culture Jepang, India dan masih banyak lagi."
"ARI SUPRAYOGI","3 minggu lalu",""
"henry lesnussa","3 minggu lalu","Taman yang semarak dengan bunga berwarna-warni, tanaman hijau subur, dan bangunan menawan yang dikelilingi hutan lebat. Sempurna untuk tema alam, perjalanan, dan luar ruangan."
"Muhamad Afan","3 minggu lalu",""
"Martin Octavianus","3 minggu lalu","Sudah banyak yang tidak terawat… di bagian Afrika juga sudah tidak ada binatang. Sayang sekali jadi kurang menarik."
"Supar Tomy","3 minggu lalu",""
"Carolina O","3 minggu lalu",""
"Oey Pau Hian","3 minggu lalu",""
"Shinyo Sony","3 minggu lalu","Great"
"sarah oktamelia","3 minggu lalu","Banyak pungli & standar keamanan wahana tidak memadai"
"Clarisa","3 minggu lalu",""
"nur smyra","3 minggu lalu","Sangat bagus"
"Pempek Delima","3 minggu lalu","Gak worth yah dengan HTM 50rb, banyak kios tutup dan tempat gak terawat, masih mending di bandingin dengan park & zoo lembang dengan HTM 65rb ..."
"Mochamad Saudi","3 minggu lalu","Tempatnya bagus.. Cuma gak keputer semua"
"indah sulfarini","3 minggu lalu","Bagus.. tapi perlu menyiapkan tensga extra karena lokasinya turun dan kembalinya naik. Perlu ditambah gondola/lift untuk mengantar pengunjung turun maupun naik kembali biar antrian tidak panjang"
"Agus Ariyanto","3 minggu lalu",""
"Adi Ashnie","3 minggu lalu",""
"Risan Hayatul Fauji","3 minggu lalu","PARKIR MOTOR 10.000 NGERIIIIII"
"Joseph Gabriel","3 minggu lalu","The Great Asia Africa merupakan salah satu dari sekian banyak tempat wisata di Lembang. Yang membedakan adalah banyaknya spot-spot bagus yang tersebar di berbagai klaster. Ada klaster India, Indonesia, Middle East, Korea, Afrika, dan yang …"
"Wahyu Hanif","4 minggu lalu",""
"Meinanda Zulfyra","4 minggu lalu","Tempat buat liburan sama keluarga, lebih bagus kalau bawa anak kecil jadi bisa sekaligus educational trip tentang budaya 7 negara yang ada di The Great Asia Africa, bisa rental tradisional costume juga! Tiketya bisa ditukar minuman juga, paling enak susu coklatnya!"
"Mulyadi Yusuf","4 minggu lalu",""
"Naradya Adi Mahesatama","4 minggu lalu",""
"8988 Indonesia Visa Services","4 minggu lalu","Trmpat rekreasi yg bagus.."
"Ester Amalo","4 minggu lalu",""
"joko suparno","4 minggu lalu","Wisata sambil berolahraga ..."
"Dian Te eL","4 minggu lalu",""
"Iswandi usb","4 minggu lalu","Amazingis very very great if t
You want to take photo. Very beatiful and we can reach knowledge."
"Arif Fai Hadiantoro","4 minggu lalu","This place is quite famous among tourist who visits Lembang, Bandung. There are some replica of mini buildings from all over continent in the world.  You can also rent some outfit like kimono from japan, saree from india, etc. Oh, you …"
"Layar Lebar","4 minggu lalu","Lumayan, buat keluarga"
"aldi cita putra","4 minggu lalu","Untuk foto2 aja bagusnya. Tempat duduk tolong di perbanyak, karena pas duduk di area kolam mesti beli makanan dlu. Pelayanan kurang, tiket masuk tidak dikembalikan sama tugas tiketnya, padahal bisa untuk menukarkan minuman gratis"
"Septriadelya Mufti","4 minggu lalu",""
"Sindi Paratika","4 minggu lalu",""
"Ita Novita","4 minggu lalu",""
"Udin Saepudin","4 minggu lalu","Siapkan stamina utk jalan kaki keliling miniatur Asia dan Afrika...suasana sejuk, ramai dan menambah edukasi wawasan negara² di Asia"
"Ruth Luciana","4 minggu lalu","Tempatnya cukup terawat dan bersih. Anjungan negara menyediakan ragam kegiatan dan ciri khasnya yang menarik untuk diperkenalkan kepada anak2. Terdapat beberapa sarana permainan juga. Yg terpenting disediakan lift berbayar 10ribu untuk tim …"
"Lannang Kurnia Jati","4 minggu lalu","Destinasi yang tidak mengecewakan, harga yang diberikan sebanding dengan fasilitas, wahana, pengalaman dan kenyamanan yang didapatkan, jika ingin menikmati wahana di dalamnya ada harga di luar tiket masuk. Pilihan kuliner dan cindera matanya beragam dan bagus. Nuansa yang dibangun sangat baik"
"Akhmad Ghozali Alwan","4 minggu lalu",""
"Okdiana Reza Kamasia","4 minggu lalu",""
"Boby Mamen","4 minggu lalu","Keren..."
"ris del","4 minggu lalu","sorry but i have to be honest, ini tempatnya lebih direkomendasikan buat yang suka foto²/ngevlog gtu deh, spertinya klau bawa orang tua/anak' mreka bakal cpet bosen (in my opinion) krna klau bawa anak' wahananya tu dikit udh gtu jalananya …"
"Maharani Daud","4 minggu lalu",""
"moza","sebulan lalu","bagus, dan masih akan diperluas lagi sepertinya nanti ini, lumayan capek keliling ke semua tempatnya.."
"Irvan Ramadhani","sebulan lalu","Untuk wisata lumayan dan harga cukup ramah kantong. Cuma agak licin aja jalannya kalo hujan."
"Hadi Hermawan","sebulan lalu","Lumayan lah buat hang out, tinggal menunggu inovasi udah 2 kali kesini lama lama bosen"
"Diyan Noorahmad","sebulan lalu","Kereeen"
"ulul azmi septidian","sebulan lalu",""
"Geoalel 182","sebulan lalu",""
"Lady Nana","sebulan lalu",""
"Manal Al","sebulan lalu","Sangat biasa, tidak patut dikunjungi"
"Nay Zukara","sebulan lalu",""
"Herma Septri","sebulan lalu","Kalau kesini buat pendatang saat Long weekend sebaiknya pakai supir aja, karena pak supir tau jalan2 alternatif yg macet, ga cukup 2jam kesini apalagi bs sewa baju Jepang & ada fotografer nya,, puasss bgt. Recomended"
"Eko Hermawan","sebulan lalu",""
"Reza Rosalina","sebulan lalu","Masuk 50/org. Cuma gitu aja. Toilet bau. Segala sudut seperti gak terurus. Parkir mobil 20ribu gatauk perberapa jam pdhal cuma 2jam kurang. Padahal pakai tiket yg otomatis ada tiketnya dan pasti ada timernya. Gate prkir gak ada gunanya deh. …"
"Khadisin Azhar","sebulan lalu",""
"Swastika a.n","sebulan lalu",""
"Zahra Pitaloka","sebulan lalu","Cocok buat ajak keluarga liburan disini, tiket masuk 50.000 aja dapet welcome drink. Tempatnya unik dan luas, dari atas atau kebawah kalau mager jalan bisa via lift 'manual' nya cukup bayar 10rb/jalan/orang. Di tiap negara ada yang jualan makanan dan minuman jadi jangan takut kelaparan atau haus 😊 …"
"Indah Mentari","sebulan lalu","Nice place for kids"
"zaaakyyy","sebulan lalu","pemaksaan"
"rafy edric","sebulan lalu",""
"toto suhardiman","sebulan lalu","Tempatnya ok, cuma memang lembah, jadi harus kuat jalan, krna pulangnya harus menanjak, dan ada juga di sediakan kereta naik kalo yg cape dan lelah"
"Ryan Waliur","sebulan lalu",""
"Anastasya Jessica","sebulan lalu","Cantik. Sejuk. HTM 50k.
Banyak pilihan negara hehe. Suasana oke buat liburan. Dingin karna di lembang. Akses masukpun oke. Senang liburan kesini! 😊 …"
"Virly Afriani","sebulan lalu","There was raining when we came to this place. Some part of the way to going down was slippery. It is because of the moss. Need to be careful or better coming here when summer time with no rain. More safe!! Buying ticket in advance via online platform are cheaper.."
"Alessandro Putera","sebulan lalu","Bagus, tapi lumayan pegel jalannya, soalnya areanya masih turun ke lereng gunung.."
"Rosi Silmiyanita","sebulan lalu",""
"Lena Aprianti","sebulan lalu",""
"Irzan Aslam (Papa Arga)","sebulan lalu","Seru, keren, makin banyak fasilitasnya. Dan bs foto pake kostum khas Arab. Hehe"
"Wawan Sutrisna (Wan sut)","sebulan lalu","Olahraga rekreasi,,jalanya tutun lalu pulangnua naik"
"Silvi Permatasari","sebulan lalu",""
"Mohammed Al Awadhi","sebulan lalu","Very nice place but don’t expect to see many products from Asia and Africa but the view and plants and the culture of the place are amazing recommend to visit"
"Saliman","sebulan lalu","Adem"
"Kiky Zetha","sebulan lalu","Terimakasih The Great Asia Afrika Bandung.. Tempatnya oke...penuh edukasi...teteh petugas dan penjual ramah2... Makasiih udh bikin happy bisa pake baju jepang disana 🥰 …"
"Alestia Fitrika","sebulan lalu","tempatnya nyaman untuk membawa keluarga dan anak, tiket masuknya 50rb anak di atas 2 tahun bayar, lalu semua wahana dikenakan biaya tambahan. …"
"iim surahmi","sebulan lalu","Lokasi nya luas, seru untuk berkeliling sekaligus olah raga. Karena banyak jln kaki jd lbh sehat. Banyak spot2 indah."
"SV","sebulan lalu",""
"Naila Fitria","sebulan lalu","Lokasi yang terjal tp cukup nyaman karena disediakan fasilitas gondola utk naik turun dgn harga yg standar.  Foodcourt sesuai tema negara. Harganya pun beragam. Mencicipi shabu dan tteokbeokki juga enak2."
"Desi Lestari","sebulan lalu","Sangat tidak nyaman dengan adanya para pembagi brosur yang awalnya saya kira brosur wisata ternyata brosur krim dan tanpa izin mengoleskan krim yang tanpa saya tau apa komposisinya ke tangan. Sudah menolak namun tetap memaksa menarik suami …"
"abdülkadir yıldırım","sebulan lalu","Apakah sebelumnya tiket masuknya gratis? Sekarang berbayar. Mereka mengubah layanan di dalamnya menjadi berbayar. Itu tidak terlalu bagus, jadi saya pergi ke teman-teman saya untuk bersama mereka karena saya tidur dengan mereka."
"Anna Anna","sebulan lalu","Profesional dan amanah,good service👍 …"
"aludra rumaisha putri","sebulan lalu","Masuk 50rb/org, parkir 10rb, untuk naik wahana byr lagi, naik lift 10rb/org, sebenernya tempatnya bagus untuk foto foto, cuma syg makanan disana tidak worth it menurut aku, tidak sesuai gambar yg di tampilkan di menu. Roti hokaiddo hrg 20rb …"
"skawngr","sebulan lalu","Wajib bgt kesinii kalo udh di lembang wkwk,bagus bgt tempatnyaa,dia itu kayak lembah gt gk sih? Aku saranin ya ke Bandung sih pake Whoosh aja klo kalian dari Halim ya,soalnya klo pake Whoosh, masuknya itu gk bayar loh,tapi aku gk tau promo …"
"Rosyid Ridho","sebulan lalu","Bagus cm untuk orang tua agak jauh jalannya . Beberapa wahana harus bayar didalamnya untuk masuk bayar 50. .inclinator 10 RB , sky ride 30 , kereta 25. Harus siap sedia payung dan alas kaki yang anti slip dan nyaman. Mungkin wahana bisa di …"
"Muhamad Rizqi mubarak","sebulan lalu",""
"dhenis setyo nugroho","sebulan lalu","Cocok untuk mengisi liburan, olahraga kaki karena sangat luas tempat ini. Pilihan makanya di bagian bawah sangat banyak sekalian menikmati dinginya lembang"
"Wardoyo Sudjatmoko","sebulan lalu",""
"tantiana win","sebulan lalu","Tempat wisata dengan view yang indah. Bisa untuk anak2"
"Ahmad yasin Zariat","sebulan lalu",""
"Jason J","sebulan lalu",""
"Rusi Fibria","sebulan lalu",""
"Alfi","sebulan lalu",""
"Muh Syaefulloh","sebulan lalu","bagus"
"Lina Marliyanti","sebulan lalu","Salah satu tempat wisata yg berada d sebrang farm house d lembang, tempat yg recomended bawa klg bsr dan mengenalkan pada anak2 budaya negara2 lain dari pakaian, baju dan yg lainnya"
"Markus Yohannes","sebulan lalu","Seru, cukup menyenangkan untuk harga yang masih terjangkau.

Banyak spot Foto. Sayang beberapa spot sepertinya kurang terawat. …"
"budi sucahyadi","sebulan lalu","Nice place"
"Momzki","sebulan lalu","Tempat yg paling aq suka jepang dan Korea yg keren banget spotnya , lumayan capek sport jantung juga buat aq yg takut ketinggian karena jalan menurun dan jembatannya tinggi. cuma jajanan gak rekomendasi dengan harga yg lumayan tp rasanya …"
"Belalang tempur0392","sebulan lalu",""
"agus slamet","sebulan lalu","Love it, 4 hrs not enough"
"Damar Wicaksono Wibowo","sebulan lalu","Spot wisata yang pemandangan dan landscapenya sangat menarik. Banyak bangunan2 bertema kebudayaan luar negeri seperti Korea, Jepang, India, Africa, dsb. HTM tidak mahal dan cukup wajar. Di sepanjang turunan atau tanjakan banyak spot penjual …"
"Ndh Rejeki","sebulan lalu","Tidak ada kesengajaan berkunjung, karena hari kerja. Pas lewat aja, penasaran trus mampir.
Bagus sekali, sejuk, cocok klo buat yg suka foto. …"
"adn","sebulan lalu","great view n experience, I love the atmosphere sm a A a. ticketnya (and the souvenir) imo, overpriced, karena masih harus membayar lagi jika ingin menikmati wahana yang ada. good thing, tiket dapat ditukar dengan makanan/minuman di bagian belakang foodcourt(?)"
"Yenny","sebulan lalu",""
"Via","sebulan lalu","bagus,enakan hari biasa soalnya lebih leluasa"
"Budi Sant Kauno","sebulan lalu","Tempat wisata edukasi cocok buat remaja dan anak-anak yang belum ada berkat keliling asia 😁 …"
"Abil Musyaffa","sebulan lalu",""
"d dmfr","sebulan lalu","🌸 …"
"Jojo josua","sebulan lalu","Asia Africa Lembang sangat cocok buat Tempat Wisata/  Gathering Keluarga maupun Perusahaan."
"Sugeng Riyadi","sebulan lalu","Seruuuuuu"
"Adis Abas","sebulan lalu",""
"Satu Prasetyo Gilang Mahameru","sebulan lalu","Tempatnya bagus cocok untuk liburan bersama keluarga"
"jeanuar Haikal","sebulan lalu","GK ada tempat buat ngacas:("
"Arni Suarni","sebulan lalu","Parkir motor mahal banget 10rb"
"Bagus R","sebulan lalu","Cuma tempat foto foto, terus tempatnya luas, kita cape jalan. Sama permainan nya semuanya bayar"
"jayanthi dp","sebulan lalu","Seruuu banget"
"Bundanya Queen Afsheen","sebulan lalu","Tidak banyak perubahan dari terakhir saya berkunjung d mei 2022
Tanjakannya lumayan yaa menguras kalori
Tidak banyak yg jualan makanan padahal laper bgt posisi dateng siang jam stgh12 sampe stgh4 semua spot d datangi."
"Marwan Liberty UP","sebulan lalu",""
"Sugama Maskar","sebulan lalu","Tenpatnya bagus namun beberapa spot sepertinya perlu perbaikan. Tapi overall bagus."
"Jhoney Dolinovodno","sebulan lalu","HTM 50K/orang. Di dalam ada wahana lagi. kalau mau masuk/main, bayar. Harusnya kalau masuk doang harganya bisa lebih murah, biar bisa main wahana di dalem."
"burak kaan yılmaz","sebulan lalu","It shouldn't be any entry fee because this place entirely designed to sell something. Doesn't worth to visit."
"Agung Prasetyo","sebulan lalu","Bagus tapi ada marketing maksa marketing skincare lidah biaya ganggu banget narik orang langsung di olesin ke tangan dan muka"
"suw so","sebulan lalu",""
"agus 168","sebulan lalu",""
"WISATA CIWIDEY OFFICIAL","sebulan lalu","Nyaman sekali di time zone the great asia afrika"
"E L S A","sebulan lalu",""
"adie agung","sebulan lalu",""
"Suci Aini","sebulan lalu","Biasa aja. Masuk bayar 50rb per org bisa dituker minum ( pilihan macem2), suasananya bagus, toilet dan musola aman. cuma apa2 mesti bayar lagi.. wahana dikit, ada sewa kostum, boleh bawa snack dr rumah, makanan didalem juga ada cuma rasanya …"
"wahid setyo","sebulan lalu","Ok
Harus kuat jln y naik turun cukup melelahkan..
Makanan paling bawah ada bbrp pilihan"
"M. Arli Rusandi","sebulan lalu","Kalau mau sehat, bagus ini buat jalan kaki, melatih lutut. Kalau tdk sanggup, ada jasa gondalanya. Setiap wahana permainan, bayar."
"J H","sebulan lalu","It's a good place to visit and highly recommended. Visit during weekday if possible to avoid busy/crowd. Easy to locate and enough car park. Entrance fee is Rp. 50,000 per person and there is multiple stores also food stalls inside."
"suhermin wijaya","sebulan lalu",""
"Fofi Nia Atikah","sebulan lalu","Pemandangan nya indah dan tempatnya kece dan instagramable buat foto"
"Yaya Manusia Ikan","sebulan lalu","Yang sedang cari sensasi muterin semua asia dalam 1 hari bisa kesini"
"Nyimas Dhiya M.Z","sebulan lalu",""
"Budi Renggo","sebulan lalu",""
"Rokybetta Fish","sebulan lalu","Mantep banget spot Potonya Instagram able pkonyamah gak afdol kalau lagi liburan ke Bandung ga Mampir ke The great asia Africa .."
"Neli Yama123","sebulan lalu",""
"Much Sendiana (Shendy)","sebulan lalu",""
"Hana Fairus","sebulan lalu",""
"SEPTY first","sebulan lalu","Walaupun lumayan capek jalannya tapi masih menjadi rekomendasi tujuan liburan sama keluarga karena ada berapa wahana dan tempatnya sejuk juga."
"Hikmatullo Saidzoda","sebulan lalu",""
"Marhoum Teddy Sukma","sebulan lalu","Note: this is a review from an international tourist with young kids.
The Great Asia Africa is a themed park but not a themed park. Roller coaster rides aren’t their specialty although there’s a few rides to take. Each section of …"
"Kristanto Mukti Wibowo","sebulan lalu","lumayaannn enak nyaman"
"Edenia Sihana","sebulan lalu","Luas banget tempatnya
Kaya berkunjung ke berbagai negara di dunia dan bisa foto2 di banyak spot yg cantik. Bisa sewa kostum tradisional negara2 dan ada beberapa wahana buat yang bawa …"
"20_indah mahadewi","sebulan lalu","Senang, bersih dan rapi🥰 …"
"Lina I","sebulan lalu","Lokasi di raya lembang ga terlalu jauh. Kesini 4 januari kemarin.
Bagus tempatnya luas ada wahana bermain sky ride, lift gondola, bisa sewa kostum negara untuk foto di spot2 yg bagus bisa sewa photografer juga. Pemandangannya …"
"Junika Putri","sebulan lalu",""
"Shofura Tasbihah","sebulan lalu","Tempat bagus"
"Hassan Suriawati","sebulan lalu","Nothing much to see or do. I'm out of the place within half hour."
"Aeni Ismail","sebulan lalu",""
"ayu apritasari","sebulan lalu","Tempat wisata yg gak ada matinya"
"Santylicious","sebulan lalu",""
"Putz Ndach","sebulan lalu","Tempatnya bagus, tiketny beli di agoda dpt diskon, tp sayang parkirnya pungli masa parkir mobil pas mau pulang diminta 30rb,padahal pas tiket masuk pakai karcis dari mesin,tapi pas pulang diambil sm org dan diminta biaya 30rb tanpa scan …"
"Muhammad Yasin Yasin","sebulan lalu",""
"leni","sebulan lalu",""
"hanif adhi pras","sebulan lalu",""
"Apud Ra","sebulan lalu","Sangat worth it buat liburan keluarga
Makanan yg di dalam juga enak dan murah
Yg kerja the best semua …"
"Muhammad Zarfan","sebulan lalu",""
"Surat Rotun","sebulan lalu",""
"Muhamad Iqbal","sebulan lalu","Kursi roda tersedia tiga buah dan gratis tapi kondisinya 60%"
"Hardika","sebulan lalu",""
"Santi Yuliana","sebulan lalu",""
"Budi Prasetyo","sebulan lalu","Tempat bagus ada tema masing2 negara ada India, Korea, Jepang, dll. Buat foto2 bagus bisa sewa kostum juga"
"Yohanes Purwanto","sebulan lalu",""
"Eep Deni Ilfansyah","sebulan lalu","Untuk liburan keluarga sangat cocok ,tempatnya banyak spot menarik dan bisa sambil olah raga ,"
"Alvi Indri Marti Ayu Ningrum","sebulan lalu","Pas masuk mah jqlqnnya turun,asyik nikmatin wahana,tapi baliknya nanjak donk... Untung bisa naik gondola 10rb/orang"
"NASHRUDIN HAMID","sebulan lalu","Tempatnya bagus....dan bersih"
"Imam Rustadi","sebulan lalu","Rekomendasi untuk datang pagi jam 8, kondisi masih sepi pengunjung jadi lebih leluasa untuk explore.
Kurang rekomen untuk kursi roda."
"Agung Igar","sebulan lalu",""
"Anna Seta","sebulan lalu","Berasa dijebak/ditipu pas naik sky ride (semacam sepeda yg ada di atas rel gitu, bentuknya bulet besar bisa dinaiki 2 orang buat keliling di atas). Masa mereka jual tiket, terus pas kita naik tangga buat naik wahananya tiba2 disuruh tanda …"
"Abi Mayu","sebulan lalu","Suasananya bagus, macem2 spot foto, tapi jalannya lumayan menguras tenaga. Cocok untuk yg pasutri muda bawa anak2 keliling atau yg masi muda. Kalo org tua/lansia kasian juga jalanannya lumayan menguras tenaga. Tiketnya oke la 50k/org"
